sample	lane
KCVSICVZHZA4ZOH52IBFQRDZ6I	L004
KCVSICVZHZA4ZOH52IBFQRDZ6I	L001
KCVSICVZHZA4ZOH52IBFQRDZ6I	L003
KCVSICVZHZA4ZOH52IBFQRDZ6I	L002
4VXPCNFWRJEQ5ADUJX6ATBSZGE	L004
4VXPCNFWRJEQ5ADUJX6ATBSZGE	L001
4VXPCNFWRJEQ5ADUJX6ATBSZGE	L003
4VXPCNFWRJEQ5ADUJX6ATBSZGE	L002
OHTKLCZTHFBA3MIORAQMGTRQIA	L004
OHTKLCZTHFBA3MIORAQMGTRQIA	L001
OHTKLCZTHFBA3MIORAQMGTRQIA	L003
OHTKLCZTHFBA3MIORAQMGTRQIA	L002
7T54UX7PJJB7NFHLMNC36FPIEI	L004
7T54UX7PJJB7NFHLMNC36FPIEI	L001
7T54UX7PJJB7NFHLMNC36FPIEI	L003
7T54UX7PJJB7NFHLMNC36FPIEI	L002
G2FXVDV3VFA33FE34UIZN6WFNM	L004
G2FXVDV3VFA33FE34UIZN6WFNM	L001
G2FXVDV3VFA33FE34UIZN6WFNM	L003
G2FXVDV3VFA33FE34UIZN6WFNM	L002
LFJ5FGJVLBBNTBGUDQRR2PEHL4	L004
LFJ5FGJVLBBNTBGUDQRR2PEHL4	L001
LFJ5FGJVLBBNTBGUDQRR2PEHL4	L003
LFJ5FGJVLBBNTBGUDQRR2PEHL4	L002
V7TPCJW5OVHVPL55W3U743WDBU	L004
V7TPCJW5OVHVPL55W3U743WDBU	L001
V7TPCJW5OVHVPL55W3U743WDBU	L003
V7TPCJW5OVHVPL55W3U743WDBU	L002
U33U4L2P2BHSDLGFRAO72KA5SY	L004
U33U4L2P2BHSDLGFRAO72KA5SY	L001
U33U4L2P2BHSDLGFRAO72KA5SY	L003
U33U4L2P2BHSDLGFRAO72KA5SY	L002
E6X257YOUFB67E3Y6LJ2MJ7AO4	L004
E6X257YOUFB67E3Y6LJ2MJ7AO4	L001
E6X257YOUFB67E3Y6LJ2MJ7AO4	L003
E6X257YOUFB67E3Y6LJ2MJ7AO4	L002
SFEATU2HPRC73NAWQLDDDUOWJI	L004
SFEATU2HPRC73NAWQLDDDUOWJI	L001
SFEATU2HPRC73NAWQLDDDUOWJI	L003
SFEATU2HPRC73NAWQLDDDUOWJI	L002
3X2CMDHUTJABTAWKN46BFXVRBA	L004
3X2CMDHUTJABTAWKN46BFXVRBA	L001
3X2CMDHUTJABTAWKN46BFXVRBA	L003
3X2CMDHUTJABTAWKN46BFXVRBA	L002
ZYTO2IO52JE33EESZCRXCTZLIU	L004
ZYTO2IO52JE33EESZCRXCTZLIU	L001
ZYTO2IO52JE33EESZCRXCTZLIU	L003
ZYTO2IO52JE33EESZCRXCTZLIU	L002
JQLENCFQPVFC3KB5ZJIWPWOWU4	L004
JQLENCFQPVFC3KB5ZJIWPWOWU4	L001
JQLENCFQPVFC3KB5ZJIWPWOWU4	L003
JQLENCFQPVFC3KB5ZJIWPWOWU4	L002
NMZNX6DAGZCVJPEPPMUGZGOWSA	L004
NMZNX6DAGZCVJPEPPMUGZGOWSA	L001
NMZNX6DAGZCVJPEPPMUGZGOWSA	L003
NMZNX6DAGZCVJPEPPMUGZGOWSA	L002
JXRG4LKCTZA7LNWXEAVF7AHDFU	L004
JXRG4LKCTZA7LNWXEAVF7AHDFU	L001
JXRG4LKCTZA7LNWXEAVF7AHDFU	L003
JXRG4LKCTZA7LNWXEAVF7AHDFU	L002
QFV53UB44JENNFHYWCWAJ6Z7PU	L004
QFV53UB44JENNFHYWCWAJ6Z7PU	L001
QFV53UB44JENNFHYWCWAJ6Z7PU	L003
QFV53UB44JENNFHYWCWAJ6Z7PU	L002
7X7DMISN3FCANP5G5TCEKSKRNI	L004
7X7DMISN3FCANP5G5TCEKSKRNI	L001
7X7DMISN3FCANP5G5TCEKSKRNI	L003
7X7DMISN3FCANP5G5TCEKSKRNI	L002
OEXBB2NA4ZH3PLG3YN4OQKEVIY	L004
OEXBB2NA4ZH3PLG3YN4OQKEVIY	L001
OEXBB2NA4ZH3PLG3YN4OQKEVIY	L003
OEXBB2NA4ZH3PLG3YN4OQKEVIY	L002
WO2LGCXESFF5XF7XUXKQQI7AVY	L004
WO2LGCXESFF5XF7XUXKQQI7AVY	L001
WO2LGCXESFF5XF7XUXKQQI7AVY	L003
WO2LGCXESFF5XF7XUXKQQI7AVY	L002
XGMHNRQUZFH3ZFM6MNCW2WTDNE	L004
XGMHNRQUZFH3ZFM6MNCW2WTDNE	L001
XGMHNRQUZFH3ZFM6MNCW2WTDNE	L003
XGMHNRQUZFH3ZFM6MNCW2WTDNE	L002
WQ4YGV74NNFJXK5ERYAJ7ZJP3E	L004
WQ4YGV74NNFJXK5ERYAJ7ZJP3E	L001
WQ4YGV74NNFJXK5ERYAJ7ZJP3E	L003
WQ4YGV74NNFJXK5ERYAJ7ZJP3E	L002
RC4FCPJ5HNCR3K3IM4LFS26BQQ	L004
RC4FCPJ5HNCR3K3IM4LFS26BQQ	L001
RC4FCPJ5HNCR3K3IM4LFS26BQQ	L003
RC4FCPJ5HNCR3K3IM4LFS26BQQ	L002
NLO4ADVFXJEDNK62US5IIJ4K4Y	L004
NLO4ADVFXJEDNK62US5IIJ4K4Y	L001
NLO4ADVFXJEDNK62US5IIJ4K4Y	L003
NLO4ADVFXJEDNK62US5IIJ4K4Y	L002
OY4LYSBPPNB43CJ6YI43UHPAH4	L004
OY4LYSBPPNB43CJ6YI43UHPAH4	L001
OY4LYSBPPNB43CJ6YI43UHPAH4	L003
OY4LYSBPPNB43CJ6YI43UHPAH4	L002
ZT6XDRFNBBHHVGH7YX4PSGAE64	L004
ZT6XDRFNBBHHVGH7YX4PSGAE64	L001
ZT6XDRFNBBHHVGH7YX4PSGAE64	L003
ZT6XDRFNBBHHVGH7YX4PSGAE64	L002
BBY6EIWIPNGAVCZX2QNPYR2MCY	L004
BBY6EIWIPNGAVCZX2QNPYR2MCY	L001
BBY6EIWIPNGAVCZX2QNPYR2MCY	L003
BBY6EIWIPNGAVCZX2QNPYR2MCY	L002
5MW4CZTZLVAFVE777YJMKAD2WU	L004
5MW4CZTZLVAFVE777YJMKAD2WU	L001
