id,alias,instrumentModel,firstCreated,firstPublic,releaseStatus,submissionAccountId,studyId,experimentId,sampleId
ERR15991362,"revseq_run_m2-sr4bvM_20251203113917578394","NextSeq 500",2025-12-03T11:55:40,2025-12-03T16:04:59,PUBLIC,Webin-65854,ERP167225,ERX15386468,ERS28304310
ERR15991361,"revseq_run_m2-iDqyV9_20251203113917624688","NextSeq 500",2025-12-03T11:55:33,2025-12-03T16:04:40,PUBLIC,Webin-65854,ERP167225,ERX15386467,ERS28304309
ERR15991360,"revseq_run_m2-XMdsys_20251203113917671069","NextSeq 500",2025-12-03T11:55:25,2025-12-03T16:04:48,PUBLIC,Webin-65854,ERP167225,ERX15386466,ERS28304308
ERR15991359,"revseq_run_m2-Y4wzR3_20251203113917716024","NextSeq 500",2025-12-03T11:55:18,2025-12-03T16:04:34,PUBLIC,Webin-65854,ERP167225,ERX15386465,ERS28304307
ERR15991357,"revseq_run_m2-tDscqy_20251203113917762915","NextSeq 500",2025-12-03T11:55:12,2025-12-03T16:04:42,PUBLIC,Webin-65854,ERP167225,ERX15386463,ERS28304306
ERR15991356,"revseq_run_m2-mmYEfJ_20251203113917807175","NextSeq 500",2025-12-03T11:55:03,2025-12-03T16:04:52,PUBLIC,Webin-65854,ERP167225,ERX15386462,ERS28304305
ERR15991355,"revseq_run_m2-Rtjhba_20251203113917853017","NextSeq 500",2025-12-03T11:54:54,2025-12-03T16:04:41,PUBLIC,Webin-65854,ERP167225,ERX15386461,ERS28304304
ERR15991354,"revseq_run_m2-VT3bcF_20251203113917897814","NextSeq 500",2025-12-03T11:54:47,2025-12-03T16:04:57,PUBLIC,Webin-65854,ERP167225,ERX15386460,ERS28304303
ERR15991353,"revseq_run_m2-fafZrX_20251203113917945305","NextSeq 500",2025-12-03T11:54:33,2025-12-03T16:04:39,PUBLIC,Webin-65854,ERP167225,ERX15386459,ERS28304302
ERR15991352,"revseq_run_m2-DgRuyg_20251203113917991810","NextSeq 500",2025-12-03T11:54:26,2025-12-03T16:04:47,PUBLIC,Webin-65854,ERP167225,ERX15386458,ERS28304301
ERR15991351,"revseq_run_m2-YBrMoY_20251203113918038091","NextSeq 500",2025-12-03T11:54:19,2025-12-03T16:04:56,PUBLIC,Webin-65854,ERP167225,ERX15386457,ERS28304300
ERR15991349,"revseq_run_m2-hozdkG_20251203113918082561","NextSeq 500",2025-12-03T11:54:07,2025-12-03T16:04:44,PUBLIC,Webin-65854,ERP167225,ERX15386455,ERS28304299
ERR15991348,"revseq_run_m2-kNU7js_20251203113918127785","NextSeq 500",2025-12-03T11:53:59,2025-12-03T16:04:56,PUBLIC,Webin-65854,ERP167225,ERX15386454,ERS28304298
ERR15991347,"revseq_run_m2-YowhiU_20251203113918174390","NextSeq 500",2025-12-03T11:53:52,2025-12-03T16:04:50,PUBLIC,Webin-65854,ERP167225,ERX15386453,ERS28304297
ERR15991346,"revseq_run_m2-gsuEGK_20251203113918219172","NextSeq 500",2025-12-03T11:53:44,2025-12-03T16:04:58,PUBLIC,Webin-65854,ERP167225,ERX15386452,ERS28304296
ERR15991345,"revseq_run_m2-phtHeq_20251203113918263861","NextSeq 500",2025-12-03T11:53:38,2025-12-03T16:04:48,PUBLIC,Webin-65854,ERP167225,ERX15386451,ERS28304295
ERR15991344,"revseq_run_m2-AcEG8S_20251203113918310636","NextSeq 500",2025-12-03T11:53:30,2025-12-03T16:04:52,PUBLIC,Webin-65854,ERP167225,ERX15386450,ERS28304294
ERR15991343,"revseq_run_m2-HtiJwT_20251203113918356654","NextSeq 500",2025-12-03T11:53:23,2025-12-03T16:04:43,PUBLIC,Webin-65854,ERP167225,ERX15386449,ERS28304293
ERR15991341,"revseq_run_m2-C983Zw_20251203113918402160","NextSeq 500",2025-12-03T11:53:16,2025-12-03T16:04:44,PUBLIC,Webin-65854,ERP167225,ERX15386447,ERS28304292
ERR15991340,"revseq_run_m2-JFKsEJ_20251203113918449002","NextSeq 500",2025-12-03T11:53:08,2025-12-03T16:04:36,PUBLIC,Webin-65854,ERP167225,ERX15386446,ERS28304291
ERR15991339,"revseq_run_m2-jHbrsp_20251203113918494491","NextSeq 500",2025-12-03T11:53:02,2025-12-03T16:04:37,PUBLIC,Webin-65854,ERP167225,ERX15386445,ERS28304290
ERR15991338,"revseq_run_m2-PGoRgN_20251203113918539703","NextSeq 500",2025-12-03T11:52:55,2025-12-03T16:04:56,PUBLIC,Webin-65854,ERP167225,ERX15386444,ERS28304289
ERR15991337,"revseq_run_m2-YYRzxL_20251203113918586306","NextSeq 500",2025-12-03T11:52:47,2025-12-03T16:04:59,PUBLIC,Webin-65854,ERP167225,ERX15386443,ERS28304288
ERR15991336,"revseq_run_m2-4Q8Stt_20251203113918634821","NextSeq 500",2025-12-03T11:52:38,2025-12-03T16:04:38,PUBLIC,Webin-65854,ERP167225,ERX15386442,ERS28304287
ERR15991335,"revseq_run_m2-BbET5x_20251203113918687506","NextSeq 500",2025-12-03T11:52:29,2025-12-03T16:04:50,PUBLIC,Webin-65854,ERP167225,ERX15386441,ERS28304286
ERR15991333,"revseq_run_m2-NESNdH_20251203113918733988","NextSeq 500",2025-12-03T11:52:23,2025-12-03T16:04:34,PUBLIC,Webin-65854,ERP167225,ERX15386439,ERS28304285
ERR15991332,"revseq_run_m2-LYceeY_20251203113918778927","NextSeq 500",2025-12-03T11:52:14,2025-12-03T16:04:42,PUBLIC,Webin-65854,ERP167225,ERX15386438,ERS28304284
ERR15991331,"revseq_run_m2-os283P_20251203113918825015","NextSeq 500",2025-12-03T11:52:07,2025-12-03T16:04:39,PUBLIC,Webin-65854,ERP167225,ERX15386437,ERS28304283
ERR15991330,"revseq_run_m2-QqAEGg_20251203113918870593","NextSeq 500",2025-12-03T11:51:59,2025-12-03T16:04:41,PUBLIC,Webin-65854,ERP167225,ERX15386436,ERS28304282
ERR15991329,"revseq_run_m2-gF3E5u_20251203113918917495","NextSeq 500",2025-12-03T11:51:53,2025-12-03T16:04:43,PUBLIC,Webin-65854,ERP167225,ERX15386435,ERS28304281
ERR15991328,"revseq_run_m2-sAyJww_20251203113918963259","NextSeq 500",2025-12-03T11:51:46,2025-12-03T16:04:40,PUBLIC,Webin-65854,ERP167225,ERX15386434,ERS28304280
ERR15991327,"revseq_run_m2-b99ooj_20251203113919009919","NextSeq 500",2025-12-03T11:51:38,2025-12-03T16:04:53,PUBLIC,Webin-65854,ERP167225,ERX15386433,ERS28304279
ERR15991325,"revseq_run_m2-FPVUGC_20251203113919057785","NextSeq 500",2025-12-03T11:51:30,2025-12-03T16:04:37,PUBLIC,Webin-65854,ERP167225,ERX15386431,ERS28304278
ERR15991324,"revseq_run_m2-2hKeW2_20251203113919111212","NextSeq 500",2025-12-03T11:51:21,2025-12-03T16:04:40,PUBLIC,Webin-65854,ERP167225,ERX15386430,ERS28304277
ERR15991323,"revseq_run_m2-j3ZXpL_20251203113919161691","NextSeq 500",2025-12-03T11:51:05,2025-12-03T16:04:44,PUBLIC,Webin-65854,ERP167225,ERX15386429,ERS28304276
