Escherichia phage vB_EcoM_005,2500761,Escherichia phage vB_EcoM_005
Escherichia phage JS10,576790,Escherichia phage JS10
Enterobacteria phage vB_EcoM_IME341,2163891,Enterobacteria phage vB_EcoM_IME341
Escherichia phage MX01,1837930,Escherichia phage MX01
Escherichia phage IME08,698728,Escherichia phage IME08
Escherichia phage JS98,293178,Escherichia phage JS98
Escherichia phage Bp7,1052121,Escherichia phage Bp7
Enterobacteria phage vB_EcoM_IME281,2163887,Enterobacteria phage vB_EcoM_IME281
Escherichia phage QL01,1673871,Escherichia phage QL01
Escherichia phage WG01,1837931,Escherichia phage WG01
Edwardsiella phage PEi20,1608310,Edwardsiella phage PEi20
Enterobacter phage vB_EclM_CIP9,2696340,Enterobacter phage vB_EclM_CIP9
Kosakonia phage 305,2863193,Kosakonia phage 305
Enterobacter phage vB_EclM_Q7622,2908628,Enterobacter phage vB_EclM_Q7622
Enterobacter phage vB_EhoM-IME523,2596709,Enterobacter phage vB_EhoM-IME523
Escherichia phage vB_EcoM_RZ,2893954,Escherichia phage vB_EcoM_RZ
Shigella phage SP18,645664,Shigella phage SP18
Escherichia phage vB_EcoM_VR26,1567029,Escherichia phage vB_EcoM_VR26
Escherichia phage vB_EcoM_VR20,1567027,Escherichia phage vB_EcoM_VR20
Escherichia phage vB_EcoM_VR7,700939,Escherichia phage vB_EcoM_VR7
Escherichia phage vB_EcoM_VR25,1567028,Escherichia phage vB_EcoM_VR25
Klebsiella phage PKO111,1654928,Klebsiella phage PKO111
Klebsiella phage vB_KpnM_KpV477,1852625,Klebsiella phage vB_KpnM_KpV477
Klebsiella phage KP179,2315700,Klebsiella phage KP179
Klebsiella phage Mineola,2234047,Klebsiella phage Mineola
Klebsiella phage KPV15,1913572,Klebsiella phage KPV15
Klebsiella phage JD18,1698360,Klebsiella phage JD18
Enterobacter phage myPSH1140,2108137,Enterobacter phage myPSH1140
Cronobacter phage Pet-CM3-4,1892569,Cronobacter phage Pet-CM3-4
Enterobacter phage CC31,709484,Enterobacter phage CC31
Enterobacter phage PG7,1455074,Enterobacter phage PG7
Citrobacter phage Merlin,1675602,Citrobacter phage Merlin
Salmonella phage KM16,2797303,Salmonella phage KM16
Citrobacter phage Moon,1540095,Citrobacter phage Moon
Citrobacter phage CF1 ERZ-2017,2267236,Citrobacter phage CF1 ERZ-2017
Salmonella phage vB_SnwM_CGG4-1,1815631,Salmonella phage vB_SnwM_CGG4-1
Salmonella phage STP4-a,1445860,Salmonella phage STP4-a
Salmonella phage vB_SenM-S16,1087482,Salmonella phage vB_SenM-S16
Salmonella phage Melville,2041413,Salmonella phage Melville
Salmonella phage STML-198,1204531,Salmonella phage STML-198
Escherichia phage ST0,2005047,Escherichia phage ST0
Escherichia phage vB_EcoM_JS09,1430444,Escherichia phage vB_EcoM_JS09
Escherichia phage SF,2234080,Escherichia phage SF
Escherichia phage vB_EcoM_PhAPEC2,1391224,Escherichia phage vB_EcoM_PhAPEC2
Escherichia phage RB69,12353,Escherichia phage RB69
Escherichia phage p000v,2479933,Escherichia phage p000v
Shigella phage phi25-307,2340715,Shigella phage phi25-307
Shigella phage Shf125875,1541825,Shigella phage Shf125875
Enterobacteria phage ATK47,1651196,Enterobacteria phage ATK47
Shigella phage SHSML-52-1,1863011,Shigella phage SHSML-52-1
Escherichia phage HX01,1237364,Escherichia phage HX01
Escherichia coli O157 typing phage 3,1508678,Escherichia coli O157 typing phage 3
Escherichia coli O157 typing phage 6,1508681,Escherichia coli O157 typing phage 6
Escherichia phage phiC120,1970776,Escherichia phage phiC120
Escherichia phage APCEc01,1655305,Escherichia phage APCEc01
Yersinia phage fHe-Yen9-01,1965363,Yersinia phage fHe-Yen9-01
Yersinia phage phiR1-RT,1206558,Yersinia phage phiR1-RT
Yersinia phage vB_YenM_TG1,1589265,Yersinia phage vB_YenM_TG1
Serratia phage X20,2006942,Serratia phage X20
Serratia phage CHI14,2006941,Serratia phage CHI14
Erwinia phage Cronus,2163633,Erwinia phage Cronus
Pectobacterium bacteriophage PM2,1429794,Pectobacterium bacteriophage PM2
Escherichia phage EcS1,2083276,Escherichia phage EcS1
Acinetobacter phage 133,2919552,Acinetobacter phage 133
Acinetobacter phage vB_AbaM_Kimel,2686303,Acinetobacter phage vB_AbaM_Kimel
Acinetobacter phage vB_ApiM_fHyAci03,2269366,Acinetobacter phage vB_ApiM_fHyAci03
Acinetobacter phage KARL-1,2301662,Acinetobacter phage KARL-1
Acinetobacter phage AM101,2178927,Acinetobacter phage AM101
Acinetobacter phage vB_AbaM_Lazarus,2686289,Acinetobacter phage vB_AbaM_Lazarus
Acinetobacter phage vB_AbaM_Apostate,2686308,Acinetobacter phage vB_AbaM_Apostate
Acinetobacter phage vB_AbaM_Berthold,2686290,Acinetobacter phage vB_AbaM_Berthold
Acinetobacter phage vB_AbaM_Konradin,2666257,Acinetobacter phage vB_AbaM_Konradin
Acinetobacter phage AbTZA1,2500827,Acinetobacter phage AbTZA1
Acinetobacter phage vB_AbaM_PhT2,2690230,Acinetobacter phage vB_AbaM_PhT2
Acinetobacter phage Acj9,760939,Acinetobacter phage Acj9
Acinetobacter phage ZZ1,1049283,Acinetobacter phage ZZ1
Acinetobacter phage Acj61,760732,Acinetobacter phage Acj61
Escherichia phage Lw1,1307804,Escherichia phage Lw1
Escherichia phage RB43,2887182,Escherichia phage RB43
Cronobacter phage vB_CsaM_GAP161,1141138,Cronobacter phage vB_CsaM_GAP161
Citrobacter phage Margaery,1701810,Citrobacter phage Margaery
Citrobacter phage vB_CfrM_CfP1,1871313,Citrobacter phage vB_CfrM_CfP1
Citrobacter phage Miller,1527524,Citrobacter phage Miller
Escherichia phage RB16,2681599,Escherichia phage RB16
Cronobacter phage vB_CsaM_leE,1873954,Cronobacter phage vB_CsaM_leE
Citrobacter phage IME-CF2,1673887,Citrobacter phage IME-CF2
Cronobacter phage vB_CsaM_leB,1885242,Cronobacter phage vB_CsaM_leB
Aeromonas phage CC2,1204516,Aeromonas phage CC2
Aeromonas phage AS-zj,2024208,Aeromonas phage AS-zj
Aeromonas phage AS-sw,2026113,Aeromonas phage AS-sw
Aeromonas phage 65,2919549,Aeromonas phage 65
Vibrio phage KVP40,75320,Vibrio phage KVP40
Vibrio phage ValKK3,1610855,Vibrio phage ValKK3
Vibrio phage VH7D,1262539,Vibrio phage VH7D
Aeromonas phage 25,2911441,Aeromonas phage 25
Aeromonas phage Aes508,1198013,Aeromonas phage Aes508
Aeromonas phage Aes012,1198014,Aeromonas phage Aes012
Stenotrophomonas phage IME13,1211280,Stenotrophomonas phage IME13
